group,eps,case,relerr
ps1,1e-4,2,1.638615989463813e-13
ps1,1e-4,2,5.814336488739995e-14
ps1,1e-4,2,7.403475520509909e-09
ps1,1e-4,2,6.967310719213926e-10
ps1,1e-4,2,1.733854898827860e-09
ps1,1e-4,2,5.369989566579587e-13
ps1,1e-4,2,1.785354493746171e-09
ps1,1e-4,2,1.909482382142252e-09
ps1,1e-4,2,9.854331941367808e-12
ps1,1e-4,2,4.053884064834416e-08
ps1,1e-4,2,2.351820903622381e-13
ps1,1e-4,2,1.048724506123382e-08
ps1,1e-4,2,8.952787359473580e-09
ps1,1e-4,2,3.773317317595777e-12
ps1,1e-4,2,4.029821737239475e-13
ps1,1e-4,1,8.880616260210474e-11
ps1,1e-4,2,1.808585834422665e-09
ps1,1e-4,1,7.368244002339760e-13
ps1,1e-4,2,1.830387704900000e-10
ps1,1e-4,2,1.424327280357804e-07
ps1,1e-4,2,3.260181080779278e-07
ps1,1e-4,2,3.980187422233817e-12
ps1,1e-4,2,3.434971860710517e-07
ps1,1e-4,2,8.752207790727879e-11
ps1,1e-4,2,2.016709498610073e-12
ps1,1e-4,2,6.466117825969534e-11
ps1,1e-4,2,2.172807698414118e-08
ps1,1e-4,2,9.660910531604766e-12
ps1,1e-4,2,8.175976070634996e-12
ps1,1e-4,2,1.636517894968760e-11
ps1,1e-4,1,7.642654319409151e-07
ps1,1e-4,2,2.844307701656580e-10
ps1,1e-4,2,2.545721425627224e-12
ps1,1e-4,2,1.888608404201553e-12
ps1,1e-4,2,1.900381976777332e-05
ps1,1e-4,2,1.726891437923840e-09
ps1,1e-4,2,6.600287649638144e-11
ps1,1e-4,2,2.289754640649297e-13
ps1,1e-4,2,1.027065053971858e-08
ps1,1e-4,2,1.528642137420525e-16
ps1,1e-4,2,2.504252809976942e-11
ps1,1e-4,2,6.455650195670701e-13
ps1,1e-4,2,3.734024981160648e-12
ps1,1e-4,2,4.396796020984397e-08
ps1,1e-4,2,6.239136508195642e-07
ps1,1e-4,2,3.092275838499543e-11
ps1,1e-4,2,6.164703125497703e-09
ps1,1e-4,2,8.387522259082565e-14
ps1,1e-4,2,1.241333079269400e-11
ps1,1e-4,2,3.835265892441600e-11
ps1,1e-4,2,3.328784167673301e-11
ps1,1e-4,2,1.349192474705752e-07
ps1,1e-4,2,6.280817548179629e-11
ps1,1e-4,2,7.162049486624293e-07
ps1,1e-4,2,1.214475197722835e-14
ps1,1e-4,2,8.241089376043182e-13
ps1,1e-4,2,9.999573272555408e-13
ps1,1e-4,2,1.397031499911113e-10
ps1,1e-4,2,1.147696979329302e-13
ps1,1e-4,2,1.513649600038909e-11
ps1,1e-4,2,5.551304703347088e-12
ps1,1e-4,2,8.658542344883590e-12
ps1,1e-4,2,6.792992298426985e-10
ps1,1e-4,2,1.231033824029923e-16
ps1,1e-4,2,3.285754741379331e-12
ps1,1e-4,2,7.939274011078452e-10
ps1,1e-4,2,3.008271487610189e-08
ps1,1e-4,2,4.374958755504399e-14
ps1,1e-4,2,1.237397006892347e-16
ps1,1e-4,2,8.923929104734843e-14
ps1,1e-4,2,6.592250225786218e-09
ps1,1e-4,2,5.974006464627720e-09
ps1,1e-4,2,6.038562650695403e-11
ps1,1e-4,2,5.305785241833436e-08
ps1,1e-4,2,2.494929343027172e-09
ps1,1e-4,2,1.918112460717417e-09
ps1,1e-4,2,5.840621216594512e-08
ps1,1e-4,2,4.361561816762802e-09
ps1,1e-4,2,2.688833433166703e-14
ps1,1e-4,2,2.125328321341029e-12
